customer_id,total_past_orders,avg_rating_given,is_premium_member,complaints_last_90d
CUST00000,12,4.6,0,0
CUST00001,14,5.0,0,2
CUST00002,9,4.3,0,0
CUST00003,14,3.1,0,0
CUST00004,12,4.2,0,0
CUST00005,14,3.3,0,2
CUST00006,11,3.8,0,0
CUST00007,10,5.0,0,0
CUST00008,13,4.6,0,0
CUST00009,5,4.3,0,0
CUST00010,17,4.4,0,1
CUST00011,9,3.1,1,0
CUST00012,15,4.1,0,1
CUST00013,11,3.8,0,0
CUST00014,15,4.2,0,0
CUST00015,16,4.8,1,0
CUST00016,13,4.3,0,0
CUST00017,18,4.0,0,1
CUST00018,7,4.5,1,1
CUST00019,18,4.9,1,1
CUST00020,8,5.0,1,0
CUST00021,13,4.0,0,0
CUST00022,11,3.6,1,1
CUST00023,13,5.0,0,0
CUST00024,14,4.1,0,0
CUST00025,15,4.4,0,0
CUST00026,12,4.6,0,1
CUST00027,9,5.0,0,0
CUST00028,10,4.5,0,1
CUST00029,11,3.7,1,1
CUST00030,14,4.0,1,1
CUST00031,11,4.1,1,2
CUST00032,14,4.4,0,0
CUST00033,13,3.8,0,0
CUST00034,15,4.9,0,1
CUST00035,14,3.7,0,0
CUST00036,12,4.9,0,0
CUST00037,13,4.5,1,0
CUST00038,12,4.1,1,2
CUST00039,12,4.6,0,0
CUST00040,15,4.3,1,0
CUST00041,13,3.7,1,0
CUST00042,15,4.7,1,2
CUST00043,13,3.8,0,0
CUST00044,11,4.3,0,0
CUST00045,13,3.7,0,0
CUST00046,11,5.0,0,0
CUST00047,7,4.3,0,0
CUST00048,14,4.2,0,1
CUST00049,12,4.5,0,2
CUST00050,12,3.9,0,0
CUST00051,15,3.8,1,0
CUST00052,14,3.3,0,1
CUST00053,8,3.9,0,1
CUST00054,13,2.3,0,0
CUST00055,12,3.6,0,0
CUST00056,12,4.9,0,0
CUST00057,7,4.2,0,0
CUST00058,20,5.0,0,0
CUST00059,20,3.5,1,1
CUST00060,6,3.9,0,1
CUST00061,17,4.3,0,0
CUST00062,14,4.7,0,0
CUST00063,12,4.6,0,2
CUST00064,13,4.6,0,0
CUST00065,18,4.0,0,2
CUST00066,14,3.6,0,1
CUST00067,16,3.5,0,0
CUST00068,13,4.0,0,0
CUST00069,16,4.7,0,0
CUST00070,15,4.5,0,0
CUST00071,12,4.7,1,2
CUST00072,14,4.0,0,0
CUST00073,8,4.2,0,1
CUST00074,22,4.6,0,1
CUST00075,23,4.0,1,0
CUST00076,13,3.9,0,0
CUST00077,18,5.0,0,2
CUST00078,14,4.1,0,0
CUST00079,13,3.4,1,0
CUST00080,15,4.6,1,0
CUST00081,9,4.1,0,2
CUST00082,13,4.1,1,3
CUST00083,17,4.2,0,0
CUST00084,21,4.6,0,0
CUST00085,8,3.5,0,1
CUST00086,17,4.8,0,0
CUST00087,14,4.3,0,0
CUST00088,14,4.7,0,0
CUST00089,16,4.1,0,2
CUST00090,19,4.0,1,0
CUST00091,11,3.2,0,0
CUST00092,8,3.5,0,1
CUST00093,15,4.5,0,0
CUST00094,9,4.1,0,0
CUST00095,13,3.6,0,1
CUST00096,19,4.7,1,0
CUST00097,10,3.8,0,0
CUST00098,12,4.7,1,0
CUST00099,13,3.6,0,0
CUST00100,10,4.1,0,0
CUST00101,11,4.2,1,0
CUST00102,15,3.7,0,0
CUST00103,16,4.2,0,0
CUST00104,11,3.1,1,0
CUST00105,10,4.8,0,0
CUST00106,9,3.7,1,0
CUST00107,13,3.9,1,0
CUST00108,17,3.8,0,1
CUST00109,14,3.9,1,0
CUST00110,11,3.2,0,0
CUST00111,11,4.2,0,0
CUST00112,13,3.7,0,1
CUST00113,17,4.0,0,1
CUST00114,13,4.5,1,1
CUST00115,9,4.1,1,0
CUST00116,17,3.8,0,0
CUST00117,13,4.6,1,0
CUST00118,17,3.8,0,1
CUST00119,12,2.9,1,0
CUST00120,14,4.4,0,0
CUST00121,9,4.0,0,1
CUST00122,14,4.0,1,0
CUST00123,17,4.7,0,1
CUST00124,10,4.7,0,0
CUST00125,10,5.0,0,1
CUST00126,12,4.3,0,0
CUST00127,14,5.0,1,0
CUST00128,9,3.4,1,2
CUST00129,17,5.0,1,1
CUST00130,14,4.1,1,0
CUST00131,11,3.9,0,1
CUST00132,11,3.3,0,0
CUST00133,9,4.0,0,1
CUST00134,14,4.0,0,1
CUST00135,14,3.5,1,0
CUST00136,18,5.0,0,1
CUST00137,13,3.5,0,0
CUST00138,9,3.4,0,0
CUST00139,15,3.7,0,0
CUST00140,10,3.9,0,0
CUST00141,8,4.5,1,1
CUST00142,12,3.8,1,0
CUST00143,7,3.6,0,0
CUST00144,14,3.5,0,0
CUST00145,10,3.7,0,0
CUST00146,12,4.8,1,0
CUST00147,13,4.2,0,0
CUST00148,13,3.2,0,0
CUST00149,17,4.5,0,0
CUST00150,14,3.6,1,0
CUST00151,12,4.5,0,0
CUST00152,16,3.3,0,0
CUST00153,11,4.5,0,0
CUST00154,13,4.3,0,0
CUST00155,10,4.3,0,0
CUST00156,14,4.0,0,0
CUST00157,13,4.3,0,0
CUST00158,15,3.1,0,1
