order_id,user_id,food_name,distance_km,restaurant_prep_time_min,hour_of_day,is_peak_hour,order_value_inr,customer_total_past_orders,customer_is_premium,customer_complaints_90d,cuisine_type,weather,traffic_level,vehicle_type,delivery_time_min,customer_rating,churned,rating
1,user_065,Veg Fried Rice,3.07,28,8,1,243.49,69,1,3,Continental,Sunny,Low,Bicycle,42.5,1,0,5
2,user_044,Paneer Tikka,9.81,5,10,0,1162.33,20,0,2,Chinese,Storm,Low,Scooter,50.7,2,0,4
3,user_047,Veg Fried Rice,1.0,19,14,1,850.72,48,1,2,Indian,Rain,Medium,Bicycle,48.8,5,0,1
4,user_088,Ice Cream Cone,10.46,17,10,0,489.16,46,1,2,Indian,Cloudy,Medium,Bike,57.3,3,0,5
5,user_005,Sushi Roll,5.82,13,20,1,1485.33,71,1,2,Continental,Cloudy,High,Bicycle,62.7,1,0,3
6,user_096,Veg Fried Rice,8.04,17,21,1,1338.56,58,1,1,Indian,Cloudy,High,Bicycle,67.5,5,0,5
7,user_060,Veg Fried Rice,1.55,6,16,0,1305.54,19,0,3,Fast Food,Rain,Low,Bike,24.7,4,0,5
8,user_098,Margherita Pizza,9.34,15,11,0,256.17,55,1,0,Indian,Sunny,High,Bicycle,61.6,3,0,3
9,user_040,Margherita Pizza,6.7,29,9,0,1391.41,0,0,3,Continental,Cloudy,Low,Scooter,48.2,3,0,2
10,user_078,Chocolate Donut,1.3,29,14,0,845.79,16,1,3,South Indian,Sunny,Low,Bicycle,36.2,2,0,5
11,user_071,Margherita Pizza,8.22,16,15,0,713.34,66,0,1,Continental,Cloudy,High,Scooter,59.1,3,1,1
12,user_032,Chocolate Donut,10.39,7,21,0,819.82,35,0,1,Indian,Sunny,Low,Bike,41.1,5,0,2
13,user_025,Veg Fried Rice,5.23,28,22,0,175.84,12,1,2,Indian,Sunny,High,Scooter,59.5,1,0,2
14,user_063,Chocolate Donut,11.12,19,14,1,1231.23,70,1,0,Fast Food,Cloudy,Medium,Scooter,72.9,2,0,4
15,user_008,Veg Fried Rice,3.55,30,9,0,1199.18,36,0,3,Indian,Cloudy,Medium,Bike,48.8,3,0,3
16,user_031,Chocolate Donut,10.31,10,11,0,179.63,65,1,1,Indian,Sunny,High,Scooter,55.2,1,0,5
17,user_083,Sushi Roll,7.21,21,22,0,542.92,33,1,2,Chinese,Sunny,High,Bike,56.2,4,1,3
18,user_021,Chocolate Donut,11.96,7,17,0,852.69,64,0,2,Indian,Sunny,Medium,Bicycle,54.1,2,0,5
19,user_044,Margherita Pizza,8.13,9,16,1,470.25,13,0,1,Continental,Sunny,High,Bicycle,58.3,5,0,5
20,user_055,Veg Fried Rice,10.04,6,8,0,104.96,16,0,2,Fast Food,Rain,Low,Bike,43.3,4,0,1
21,user_086,Paneer Tikka,7.2,9,19,0,701.7,5,0,0,Indian,Cloudy,High,Bike,55.7,2,0,5
22,user_090,Paneer Tikka,9.82,18,20,0,134.7,42,0,3,Fast Food,Cloudy,Low,Bike,53.0,2,0,1
23,user_066,Chocolate Donut,9.94,12,18,1,412.09,24,0,2,Fast Food,Cloudy,Low,Scooter,57.4,3,0,1
24,user_074,Margherita Pizza,3.55,8,16,0,935.2,44,0,2,Indian,Rain,Low,Bicycle,30.1,5,1,1
25,user_085,Paneer Tikka,6.69,28,17,0,1416.37,25,0,0,Continental,Storm,Low,Bicycle,63.0,3,0,5
26,user_001,Sushi Roll,6.88,11,17,0,688.62,48,0,1,Italian,Storm,Medium,Scooter,56.6,3,0,2
27,user_097,Margherita Pizza,2.96,20,17,0,1211.23,21,0,2,Fast Food,Rain,Medium,Scooter,44.5,5,0,2
28,user_032,Margherita Pizza,5.96,29,8,1,201.96,53,0,1,Chinese,Cloudy,Low,Bike,58.5,4,0,1
29,user_097,Chocolate Donut,1.08,12,21,0,1384.46,15,0,3,Fast Food,Cloudy,Low,Bicycle,26.1,5,0,5
30,user_031,Sushi Roll,9.15,25,18,0,488.24,66,0,1,Fast Food,Cloudy,High,Scooter,68.0,1,0,3
31,user_050,Veg Fried Rice,8.48,27,8,1,399.53,53,0,3,South Indian,Sunny,Low,Bike,57.6,2,0,5
32,user_004,Chocolate Donut,4.98,18,18,1,853.51,69,0,1,Fast Food,Storm,Low,Scooter,57.0,3,0,4
33,user_034,Chocolate Donut,6.64,17,18,0,928.65,3,1,3,Continental,Cloudy,Medium,Bike,47.3,4,0,2
34,user_009,Ice Cream Cone,11.44,18,9,1,453.18,10,0,0,Fast Food,Rain,Medium,Scooter,75.2,3,0,1
35,user_096,Ice Cream Cone,1.95,26,11,1,260.15,27,0,2,Chinese,Cloudy,Low,Bicycle,46.7,2,0,2
36,user_077,Paneer Tikka,7.12,17,9,0,655.32,25,1,1,Italian,Sunny,High,Bike,52.3,3,0,3
37,user_056,Margherita Pizza,7.95,5,16,1,1289.41,62,1,2,South Indian,Storm,High,Scooter,71.2,4,0,5
38,user_086,Chocolate Donut,7.31,15,18,0,1292.4,11,0,3,South Indian,Storm,Medium,Scooter,58.2,4,0,1
39,user_098,Margherita Pizza,9.68,15,23,1,491.52,35,0,1,Fast Food,Rain,Low,Scooter,56.2,4,0,4
40,user_090,Chocolate Donut,8.46,14,16,1,1029.54,47,0,2,Fast Food,Sunny,Low,Scooter,48.5,5,0,3
41,user_068,Veg Fried Rice,1.87,22,17,1,1431.23,23,1,3,Italian,Cloudy,Low,Bicycle,40.7,5,0,1
42,user_097,Chocolate Donut,0.66,22,11,1,277.22,5,0,2,Chinese,Rain,Low,Scooter,42.2,2,0,1
43,user_088,Paneer Tikka,2.62,6,12,0,453.47,61,1,0,South Indian,Rain,Medium,Scooter,33.2,1,0,2
44,user_076,Chocolate Donut,9.29,24,17,1,934.58,28,0,3,South Indian,Rain,Low,Bike,63.7,4,0,5
45,user_058,Ice Cream Cone,9.27,25,23,1,395.44,10,1,1,South Indian,Sunny,High,Bicycle,74.0,2,1,3
46,user_020,Sushi Roll,10.39,7,12,1,1062.34,33,0,1,Indian,Cloudy,Medium,Bicycle,59.4,5,0,1
47,user_057,Paneer Tikka,7.05,14,9,0,714.81,59,0,3,Indian,Cloudy,Medium,Bicycle,51.1,5,0,4
48,user_098,Margherita Pizza,3.13,26,23,1,1270.34,73,0,0,Continental,Rain,High,Scooter,68.0,3,0,5
49,user_043,Chocolate Donut,5.51,20,23,0,1456.68,60,0,2,Continental,Storm,Medium,Bike,57.7,1,0,3
50,user_007,Margherita Pizza,4.12,15,19,0,262.29,51,0,0,Continental,Storm,High,Bike,60.7,5,0,5
51,user_071,Chocolate Donut,2.01,14,10,1,713.36,62,1,1,Fast Food,Storm,Low,Bike,48.1,3,0,2
52,user_019,Chocolate Donut,6.23,27,14,0,508.61,34,0,3,Indian,Storm,Low,Bicycle,61.4,2,0,5
53,user_075,Ice Cream Cone,10.33,15,23,0,1407.95,64,0,0,South Indian,Cloudy,Low,Scooter,49.0,3,0,2
54,user_053,Paneer Tikka,6.75,19,18,0,1405.99,24,0,1,Fast Food,Storm,Medium,Scooter,61.6,2,0,4
55,user_059,Paneer Tikka,8.0,9,12,0,793.46,4,1,2,Continental,Storm,Medium,Bicycle,59.5,4,1,4
56,user_005,Veg Fried Rice,3.55,24,10,0,1069.79,10,0,3,Continental,Cloudy,Low,Scooter,42.4,4,0,2
57,user_008,Sushi Roll,11.75,29,19,1,987.25,12,0,2,Continental,Rain,Low,Bicycle,76.1,1,0,3
58,user_075,Margherita Pizza,8.34,10,15,0,337.98,10,0,3,Fast Food,Cloudy,Low,Bicycle,42.6,2,0,4
59,user_055,Ice Cream Cone,10.84,19,16,0,1361.69,69,1,3,Continental,Rain,Medium,Scooter,66.1,5,0,4
60,user_100,Ice Cream Cone,4.89,16,9,1,904.74,37,1,3,Italian,Cloudy,Medium,Scooter,51.1,5,0,5
61,user_057,Paneer Tikka,4.55,25,19,0,366.18,32,0,1,Continental,Storm,Medium,Bike,60.6,1,0,2
62,user_062,Sushi Roll,2.81,30,18,0,855.17,46,0,2,Indian,Rain,Medium,Bicycle,53.0,3,0,1
63,user_048,Ice Cream Cone,8.83,17,16,0,1454.18,71,0,3,Fast Food,Sunny,Low,Bike,41.1,5,1,5
64,user_015,Margherita Pizza,0.79,22,9,1,559.21,28,0,3,Fast Food,Rain,Low,Bicycle,43.8,3,0,1
65,user_079,Chocolate Donut,6.68,17,16,1,735.1,69,0,1,Italian,Storm,Low,Bike,62.9,1,0,1
66,user_016,Chocolate Donut,3.22,16,10,0,239.1,47,0,2,Continental,Rain,Low,Scooter,32.6,3,0,2
67,user_019,Veg Fried Rice,1.95,23,8,1,387.29,70,1,1,Continental,Sunny,Low,Scooter,40.9,2,0,3
